iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"29-Apr-2015"
Total Net Assets,"$69,377,710,110"
Shares Outstanding,"330,600,000"
Stock,"99.66"
Bond,"0.00"
Cash,"0.26"
Other,"0.08"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"ALL","US0200021014","2019952","ALLSTATE CORP","0.1564","Equity","Financials","$109,618,662","1,560,408","70.25","New York Stock Exchange Inc.","109,618,662.00"
"EXC","US30161N1019","2670519","EXELON CORP","0.1555","Equity","Utilities","$108,965,267","3,221,918","33.82","New York Stock Exchange Inc.","108,965,266.76"
"MHFI","US5806451093","2551443","MCGRAW HILL FINANCIAL INC","0.1545","Equity","Financials","$108,285,123","1,024,845","105.66","New York Stock Exchange Inc.","108,285,122.70"
"CBS","US1248572026","B0SRLH6","CBS CORP- CLASS B","0.1535","Equity","Consumer Discretionary","$107,605,607","1,714,284","62.77","New York Stock Exchange Inc.","107,605,606.68"
"BLKFDS","US0669224778","-","BLK CSH FND TREASURY SL AGENCY","0.1521","Money Market","Cash and/or Derivatives","$106,580,435","106,580","1.00","-","106,580,435.26"
"AEP","US0255371017","2026242","AMERICAN ELECTRIC POWER INC","0.1513","Equity","Utilities","$106,026,504","1,834,686","57.79","New York Stock Exchange Inc.","106,026,503.94"
"CME","US12572Q1058","2965839","CME GROUP INC CLASS A","0.1512","Equity","Financials","$105,989,938","1,188,228","89.20","NASDAQ","105,989,937.60"
"CCI","US22822V1017","BTGQCX1","CROWN CASTLE INTERNATIONAL REIT CO","0.1510","Equity","Financials","$105,822,936","1,251,010","84.59","New York Stock Exchange Inc.","105,822,935.90"
"SYK","US8636671013","2853688","STRYKER CORP","0.1509","Equity","Health Care","$105,750,546","1,121,189","94.32","New York Stock Exchange Inc.","105,750,546.48"
"AFL","US0010551028","2026361","AFLAC INC","0.1499","Equity","Financials","$105,026,263","1,644,633","63.86","New York Stock Exchange Inc.","105,026,263.38"
"INTU","US4612021034","2459020","INTUIT INC","0.1497","Equity","Information Technology","$104,916,881","1,036,933","101.18","NASDAQ","104,916,880.94"
"MPC","US56585A1025","B3K3L40","MARATHON PETROLEUM CORP","0.1497","Equity","Energy","$104,909,311","1,023,206","102.53","New York Stock Exchange Inc.","104,909,311.18"
"LUV","US8447411088","2831543","SOUTHWEST AIRLINES","0.1480","Equity","Industrials","$103,728,152","2,533,044","40.95","New York Stock Exchange Inc.","103,728,151.80"
"BBT","US0549371070","2830904","BB AND T CORP","0.1476","Equity","Financials","$103,473,280","2,700,947","38.31","New York Stock Exchange Inc.","103,473,279.57"
"TEL","CH0102993182","B62B7C3","TE CONNECTIVITY LTD","0.1469","Equity","Information Technology","$102,974,665","1,522,168","67.65","New York Stock Exchange Inc.","102,974,665.20"
"EQR","US29476L1070","2319157","EQUITY RESIDENTIAL REIT","0.1467","Equity","Financials","$102,812,695","1,363,202","75.42","New York Stock Exchange Inc.","102,812,694.84"
"AON","GB00B5BT0K07","B5BT0K0","AON PLC","0.1467","Equity","Financials","$102,787,801","1,050,141","97.88","New York Stock Exchange Inc.","102,787,801.08"
"PSA","US74460D1090","2852533","PUBLIC STORAGE REIT","0.1464","Equity","Financials","$102,569,823","543,935","188.57","New York Stock Exchange Inc.","102,569,822.95"
"GLW","US2193501051","2224701","CORNING INC","0.1452","Equity","Information Technology","$101,756,776","4,763,894","21.36","New York Stock Exchange Inc.","101,756,775.84"
"DVN","US25179M1036","2480677","DEVON ENERGY CORP","0.1425","Equity","Energy","$99,841,737","1,448,031","68.95","New York Stock Exchange Inc.","99,841,737.45"
"VIAB","US92553P2011","B0SRLF4","VIACOM INC CLASS B","0.1410","Equity","Consumer Discretionary","$98,853,505","1,368,404","72.24","NASDAQ","98,853,504.96"
"DFS","US2547091080","B1YLC43","DISCOVER FINANCIAL SERVICES","0.1394","Equity","Financials","$97,720,563","1,675,880","58.31","New York Stock Exchange Inc.","97,720,562.80"
"PXD","US7237871071","2690830","PIONEER NATURAL RESOURCE","0.1392","Equity","Energy","$97,589,057","558,194","174.83","New York Stock Exchange Inc.","97,589,057.02"
"PRGO","IE00BGH1M568","BGH1M56","PERRIGO PLC","0.1391","Equity","Health Care","$97,465,129","527,580","184.74","New York Stock Exchange Inc.","97,465,129.20"
"HCN","US42217K1060","2440961","HEALTH CARE REIT INC","0.1382","Equity","Financials","$96,849,659","1,309,487","73.96","New York Stock Exchange Inc.","96,849,658.52"
"APA","US0374111054","2043962","APACHE CORP","0.1381","Equity","Energy","$96,807,817","1,412,016","68.56","New York Stock Exchange Inc.","96,807,816.96"
"PCG","US69331C1080","2689560","PG&E CORP","0.1373","Equity","Utilities","$96,254,857","1,785,142","53.92","New York Stock Exchange Inc.","96,254,856.64"
"SE","US8475601097","B1L60G9","SPECTRA ENERGY CORP","0.1353","Equity","Energy","$94,803,624","2,514,685","37.70","New York Stock Exchange Inc.","94,803,624.50"
"ICE","US45866F1049","BFSSDS9","INTERCONTINENTAL EXCHANGE INC","0.1346","Equity","Financials","$94,335,593","419,717","224.76","New York Stock Exchange Inc.","94,335,592.92"
"HUM","US4448591028","2445063","HUMANA INC","0.1344","Equity","Health Care","$94,209,166","560,602","168.05","New York Stock Exchange Inc.","94,209,166.10"
"LO","US5441471019","B39GHT7","LORILLARD INC","0.1344","Equity","Consumer Staples","$94,171,089","1,349,156","69.80","New York Stock Exchange Inc.","94,171,088.80"
"VFC","US9182041080","2928683","VF CORP","0.1340","Equity","Consumer Discretionary","$93,880,427","1,282,870","73.18","New York Stock Exchange Inc.","93,880,426.60"
"SRE","US8168511090","2138158","SEMPRA ENERGY","0.1333","Equity","Utilities","$93,391,155","867,625","107.64","New York Stock Exchange Inc.","93,391,155.00"
"AMAT","US0382221051","2046552","APPLIED MATERIAL INC","0.1314","Equity","Information Technology","$92,128,141","4,604,105","20.01","NASDAQ","92,128,141.05"
"BRCM","US1113201073","2235822","BROADCOM CORP CLASS A","0.1294","Equity","Information Technology","$90,688,598","2,042,536","44.40","NASDAQ","90,688,598.40"
"FCX","US35671D8570","2352118","FREEPORT MCMORAN INC","0.1273","Equity","Materials","$89,192,144","3,896,555","22.89","New York Stock Exchange Inc.","89,192,143.95"
"DLPH","JE00B783TY65","B783TY6","DELPHI AUTOMOTIVE PLC","0.1272","Equity","Consumer Discretionary","$89,116,818","1,087,719","81.93","New York Stock Exchange Inc.","89,116,817.67"
"PCAR","US6937181088","2665861","PACCAR INC","0.1256","Equity","Industrials","$88,021,904","1,328,432","66.26","NASDAQ","88,021,904.32"
"ABC","US03073E1055","2795393","AMERISOURCEBERGEN CORP","0.1254","Equity","Health Care","$87,899,970","781,750","112.44","New York Stock Exchange Inc.","87,899,970.00"
"VTR","US92276F1003","2927925","VENTAS REIT INC","0.1252","Equity","Financials","$87,730,327","1,237,905","70.87","New York Stock Exchange Inc.","87,730,327.35"
"BSX","US1011371077","2113434","BOSTON SCIENTIFIC CORP","0.1251","Equity","Health Care","$87,697,443","4,985,642","17.59","New York Stock Exchange Inc.","87,697,442.78"
"AMP","US03076C1062","B0J7D57","AMERIPRISE FINANCE INC","0.1244","Equity","Financials","$87,190,284","683,899","127.49","New York Stock Exchange Inc.","87,190,283.51"
"CMI","US2310211063","2240202","CUMMINS INC","0.1243","Equity","Industrials","$87,112,251","631,111","138.03","New York Stock Exchange Inc.","87,112,251.33"
"PPL","US69351T1060","2680905","PPL CORP","0.1227","Equity","Utilities","$85,998,814","2,499,239","34.41","New York Stock Exchange Inc.","85,998,813.99"
"CB","US1712321017","2195722","CHUBB CORP","0.1222","Equity","Financials","$85,649,393","865,058","99.01","New York Stock Exchange Inc.","85,649,392.58"
"RAI","US7617131062","2429090","REYNOLDS AMERICAN INC","0.1215","Equity","Consumer Staples","$85,122,125","1,154,668","73.72","New York Stock Exchange Inc.","85,122,124.96"
"ZTS","US98978V1035","B95WG16","ZOETIS INC CLASS A","0.1211","Equity","Health Care","$84,856,687","1,876,530","45.22","New York Stock Exchange Inc.","84,856,686.60"
"SHW","US8243481061","2804211","SHERWIN WILLIAMS","0.1204","Equity","Materials","$84,387,083","302,246","279.20","New York Stock Exchange Inc.","84,387,083.20"
"ORLY","US67103H1077","B65LWX6","OREILLY AUTOMOTIVE INC","0.1201","Equity","Consumer Discretionary","$84,161,896","380,892","220.96","NASDAQ","84,161,896.32"
"IP","US4601461035","2465254","INTERNATIONAL PAPER","0.1200","Equity","Materials","$84,087,717","1,584,468","53.07","New York Stock Exchange Inc.","84,087,716.76"
"DG","US2566771059","B5B1S13","DOLLAR GENERAL CORP","0.1198","Equity","Consumer Discretionary","$83,966,638","1,136,989","73.85","New York Stock Exchange Inc.","83,966,637.65"
"HCA","US40412C1018","B4MGBG6","HCA HOLDINGS INC","0.1197","Equity","Health Care","$83,907,871","1,103,180","76.06","New York Stock Exchange Inc.","83,907,870.80"
"CERN","US1567821046","2185284","CERNER CORP","0.1190","Equity","Health Care","$83,438,455","1,142,523","73.03","NASDAQ","83,438,454.69"
"SYY","US8718291078","2868165","SYSCO CORP","0.1185","Equity","Consumer Staples","$83,079,703","2,219,602","37.43","New York Stock Exchange Inc.","83,079,702.86"
"AVB","US0534841012","2131179","AVALONBAY COMMUNITIES REIT INC","0.1184","Equity","Financials","$83,004,545","494,811","167.75","New York Stock Exchange Inc.","83,004,545.25"
"M","US55616P1049","2345022","MACYS INC","0.1180","Equity","Consumer Discretionary","$82,715,901","1,276,283","64.81","New York Stock Exchange Inc.","82,715,901.23"
"LB","US5017971046","B9M2WX3","L BRANDS INC","0.1170","Equity","Consumer Discretionary","$81,991,428","921,252","89.00","New York Stock Exchange Inc.","81,991,428.00"
"STI","US8679141031","2860990","SUNTRUST BANKS INC","0.1170","Equity","Financials","$81,963,143","1,965,543","41.70","New York Stock Exchange Inc.","81,963,143.10"
"AZO","US0533321024","2065955","AUTOZONE INC","0.1164","Equity","Consumer Discretionary","$81,565,394","119,529","682.39","New York Stock Exchange Inc.","81,565,394.31"
"NOV","US6370711011","2624486","NATIONAL OILWELL VARCO INC","0.1160","Equity","Energy","$81,290,518","1,536,102","52.92","New York Stock Exchange Inc.","81,290,517.84"
"TROW","US74144T1088","2702337","T ROWE PRICE GROUP INC","0.1142","Equity","Financials","$80,054,315","976,987","81.94","NASDAQ","80,054,314.78"
"WM","US94106L1098","2937667","WASTE MANAGEMENT INC","0.1139","Equity","Industrials","$79,807,751","1,599,995","49.88","New York Stock Exchange Inc.","79,807,750.60"
"PEG","US7445731067","2707677","PUBLIC SERVICE ENTERPRISE GROUP IN","0.1132","Equity","Utilities","$79,321,541","1,896,737","41.82","New York Stock Exchange Inc.","79,321,541.34"
"MRO","US5658491064","2910970","MARATHON OIL CORP","0.1126","Equity","Energy","$78,884,064","2,529,146","31.19","New York Stock Exchange Inc.","78,884,063.74"
"PLD","US74340W1036","B44WZD7","PROLOGIS REIT INC","0.1125","Equity","Financials","$78,835,272","1,919,067","41.08","New York Stock Exchange Inc.","78,835,272.36"
"WDC","US9581021055","2954699","WESTERN DIGITAL CORP","0.1113","Equity","Information Technology","$77,984,154","813,776","95.83","NASDAQ","77,984,154.08"
"BXP","US1011211018","2019479","BOSTON PROPERTIES REIT INC","0.1105","Equity","Financials","$77,423,818","574,020","134.88","New York Stock Exchange Inc.","77,423,817.60"
"ROST","US7782961038","2746711","ROSS STORES INC","0.1104","Equity","Consumer Discretionary","$77,375,053","775,612","99.76","NASDAQ","77,375,053.12"
"CTL","US1567001060","2185046","CENTURYLINK INC","0.1100","Equity","Telecommunications","$77,075,745","2,122,714","36.31","New York Stock Exchange Inc.","77,075,745.34"
"BEN","US3546131018","2350684","FRANKLIN RESOURCES INC","0.1090","Equity","Financials","$76,363,123","1,467,957","52.02","New York Stock Exchange Inc.","76,363,123.14"
"MNST","US6117401017","B6X2H81","MONSTER BEVERAGE CORP","0.1088","Equity","Consumer Staples","$76,244,094","547,888","139.16","NASDAQ","76,244,094.08"
"EIX","US2810201077","2829515","EDISON INTERNATIONAL","0.1080","Equity","Utilities","$75,706,087","1,220,869","62.01","New York Stock Exchange Inc.","75,706,086.69"
"STJ","US7908491035","2767381","ST JUDE MEDICAL INC","0.1078","Equity","Health Care","$75,541,542","1,054,019","71.67","New York Stock Exchange Inc.","75,541,541.73"
"CCL","PA1436583006","2523044","CARNIVAL CORP","0.1069","Equity","Consumer Discretionary","$74,942,360","1,687,891","44.40","New York Stock Exchange Inc.","74,942,360.40"
"MJN","US5828391061","B4W9F29","MEAD JOHNSON NUTRITION","0.1051","Equity","Consumer Staples","$73,675,657","758,058","97.19","New York Stock Exchange Inc.","73,675,657.02"
"ZMH","US98956P1021","2783815","ZIMMER HOLDINGS INC","0.1048","Equity","Health Care","$73,432,018","636,657","115.34","New York Stock Exchange Inc.","73,432,018.38"
"NBL","US6550441058","2640761","NOBLE ENERGY INC","0.1047","Equity","Energy","$73,361,237","1,449,254","50.62","New York Stock Exchange Inc.","73,361,237.48"
"ADI","US0326541051","2032067","ANALOG DEVICES INC","0.1047","Equity","Information Technology","$73,356,296","1,167,722","62.82","NASDAQ","73,356,296.04"
"STZ","US21036P1084","2170473","CONSTELLATION BRANDS INC CLASS A","0.1046","Equity","Consumer Staples","$73,329,019","630,733","116.26","New York Stock Exchange Inc.","73,329,018.58"
"CMG","US1696561059","B0X7DZ3","CHIPOTLE MEXICAN GRILL INC","0.1045","Equity","Consumer Discretionary","$73,239,337","116,240","630.07","New York Stock Exchange Inc.","73,239,336.80"
"MCO","US6153691059","2252058","MOODYS CORP","0.1022","Equity","Financials","$71,590,712","666,270","107.45","New York Stock Exchange Inc.","71,590,711.50"
"STX","IE00B58JVZ52","B58JVZ5","SEAGATE TECHNOLOGY PLC","0.1021","Equity","Information Technology","$71,569,110","1,230,344","58.17","NASDAQ","71,569,110.48"
"HCP","US40414L1098","2417578","HCP REIT INC","0.1017","Equity","Financials","$71,272,521","1,726,563","41.28","New York Stock Exchange Inc.","71,272,520.64"
"HES","US42809H1077","2023748","HESS CORP","0.1013","Equity","Energy","$70,985,291","910,418","77.97","New York Stock Exchange Inc.","70,985,291.46"
"ADS","US0185811082","2762030","ALLIANCE DATA SYSTEMS CORP","0.1010","Equity","Information Technology","$70,749,362","235,337","300.63","New York Stock Exchange Inc.","70,749,362.31"
"FISV","US3377381088","2342034","FISERV INC","0.1006","Equity","Information Technology","$70,498,736","894,427","78.82","NASDAQ","70,498,736.14"
"OMC","US6819191064","2279303","OMNICOM GROUP INC","0.1006","Equity","Consumer Discretionary","$70,484,566","924,509","76.24","New York Stock Exchange Inc.","70,484,566.16"
"VNO","US9290421091","2933632","VORNADO REALTY TRUST REIT","0.0984","Equity","Financials","$68,966,397","654,765","105.33","New York Stock Exchange Inc.","68,966,397.45"
"EL","US5184391044","2320524","ESTEE LAUDER INC CLASS A","0.0983","Equity","Consumer Staples","$68,908,051","835,857","82.44","New York Stock Exchange Inc.","68,908,051.08"
"FIS","US31620M1062","2769796","FIDELITY NATIONAL INFORMATION SERV","0.0978","Equity","Information Technology","$68,524,709","1,068,195","64.15","New York Stock Exchange Inc.","68,524,709.25"
"ISRG","US46120E6023","2871301","INTUITIVE SURGICAL INC","0.0978","Equity","Health Care","$68,508,042","137,145","499.53","NASDAQ","68,508,041.85"
"EA","US2855121099","2310194","ELECTRONIC ARTS INC","0.0974","Equity","Information Technology","$68,294,564","1,165,138","58.62","NASDAQ","68,294,563.87"
"ED","US2091151041","2216850","CONSOLIDATED EDISON INC","0.0972","Equity","Utilities","$68,133,669","1,097,514","62.08","New York Stock Exchange Inc.","68,133,669.12"
"SWKS","US83088M1027","2961053","SKYWORKS SOLUTIONS INC","0.0955","Equity","Information Technology","$66,920,687","715,041","93.59","NASDAQ","66,920,687.19"
"IR","IE00B6330302","B633030","INGERSOLL-RAND PLC","0.0952","Equity","Industrials","$66,751,540","986,719","67.65","New York Stock Exchange Inc.","66,751,540.35"
"GGP","US3700231034","B56VLR5","GENERAL GROWTH PROPERTIES REIT INC","0.0937","Equity","Financials","$65,661,678","2,354,309","27.89","New York Stock Exchange Inc.","65,661,678.01"
"IVZ","BMG491BT1088","B28XP76","INVESCO LTD","0.0935","Equity","Financials","$65,525,849","1,608,391","40.74","New York Stock Exchange Inc.","65,525,849.34"
"XEL","US98389B1008","2614807","XCEL ENERGY INC","0.0934","Equity","Utilities","$65,450,610","1,896,020","34.52","New York Stock Exchange Inc.","65,450,610.40"
"HIG","US4165151048","2476193","HARTFORD FINANCIAL SERVICES GROUP","0.0931","Equity","Financials","$65,256,293","1,577,382","41.37","New York Stock Exchange Inc.","65,256,293.34"
"MAR","US5719032022","2210614","MARRIOTT INTERNATIONAL INC CLASS A","0.0930","Equity","Consumer Discretionary","$65,182,841","777,189","83.87","NASDAQ","65,182,841.43"
"WFM","US9668371068","2963899","WHOLE FOODS MARKET INC","0.0930","Equity","Consumer Staples","$65,172,640","1,351,849","48.21","NASDAQ","65,172,640.29"
"APH","US0320951017","2145084","AMPHENOL CORP CLASS A","0.0925","Equity","Information Technology","$64,848,232","1,162,363","55.79","New York Stock Exchange Inc.","64,848,231.77"
"ROP","US7766961061","2749602","ROPER TECHNOLOGIES INC","0.0918","Equity","Industrials","$64,362,156","376,057","171.15","New York Stock Exchange Inc.","64,362,155.55"
"PH","US7010941042","2671501","PARKER-HANNIFIN CORP","0.0912","Equity","Industrials","$63,885,782","533,805","119.68","New York Stock Exchange Inc.","63,885,782.40"
"SYMC","US8715031089","2861078","SYMANTEC CORP","0.0908","Equity","Information Technology","$63,656,864","2,557,014","24.90","NASDAQ","63,656,863.53"
"TYC","IE00BQRQXQ92","BQRQXQ9","TYCO INTERNATIONAL PLC","0.0899","Equity","Industrials","$62,975,420","1,573,992","40.01","New York Stock Exchange Inc.","62,975,419.92"
"WY","US9621661043","2958936","WEYERHAEUSER REIT","0.0891","Equity","Financials","$62,421,382","1,967,267","31.73","New York Stock Exchange Inc.","62,421,381.91"
"AA","US0138171014","2021805","ALCOA INC","0.0889","Equity","Materials","$62,288,218","4,580,016","13.60","New York Stock Exchange Inc.","62,288,217.60"
"SIAL","US8265521018","2807566","SIGMA ALDRICH CORP","0.0887","Equity","Materials","$62,146,825","447,518","138.87","NASDAQ","62,146,824.66"
"FITB","US3167731005","2336747","FIFTH THIRD BANCORP","0.0875","Equity","Financials","$61,306,168","3,053,096","20.08","NASDAQ","61,306,167.68"
"LVLT","US52729N3089","B5LL299","LEVEL COMMUNICATIONS INC","0.0869","Equity","Telecommunications","$60,912,352","1,074,671","56.68","New York Stock Exchange Inc.","60,912,352.28"
"NTRS","US6658591044","2648668","NORTHERN TRUST CORP TRUST","0.0865","Equity","Financials","$60,646,136","822,432","73.74","NASDAQ","60,646,135.68"
"USD","-","-","USD CASH","0.0859","Cash","Cash and/or Derivatives","$60,222,226","60,222","100.00","-","60,222,225.86"
"K","US4878361082","2486813","KELLOGG","0.0858","Equity","Consumer Staples","$60,126,641","948,669","63.38","New York Stock Exchange Inc.","60,126,641.22"
"MTB","US55261F1049","2340168","M&T BANK CORP","0.0854","Equity","Financials","$59,850,909","498,052","120.17","New York Stock Exchange Inc.","59,850,908.84"
"PAYX","US7043261079","2674458","PAYCHEX INC","0.0853","Equity","Information Technology","$59,808,566","1,224,707","48.84","NASDAQ","59,808,566.34"
"DLTR","US2567461080","2272476","DOLLAR TREE INC","0.0852","Equity","Consumer Discretionary","$59,700,086","770,622","77.47","NASDAQ","59,700,086.34"
"ES","US30040W1080","BVVN4Q8","EVERSOURCE ENERGY","0.0847","Equity","Utilities","$59,367,271","1,187,108","50.01","New York Stock Exchange Inc.","59,367,271.08"
"NUE","US6703461052","2651086","NUCOR CORP","0.0839","Equity","Materials","$58,808,563","1,195,539","49.19","New York Stock Exchange Inc.","58,808,563.41"
"SWK","US8545021011","B3Q2FJ4","STANLEY BLACK & DECKER INC","0.0839","Equity","Industrials","$58,771,558","589,839","99.64","New York Stock Exchange Inc.","58,771,557.96"
"CAG","US2058871029","2215460","CONAGRA FOODS INC","0.0829","Equity","Consumer Staples","$58,110,651","1,596,008","36.41","New York Stock Exchange Inc.","58,110,651.28"
"ENDP","IE00BJ3V9050","BJ3V905","ENDO INTERNATIONAL PLC","0.0821","Equity","Health Care","$57,563,206","665,163","86.54","NASDAQ","57,563,206.02"
"HST","US44107P1049","2567503","HOST HOTELS & RESORTS REIT INC","0.0821","Equity","Financials","$57,538,199","2,838,589","20.27","New York Stock Exchange Inc.","57,538,199.03"
"FE","US3379321074","2100920","FIRSTENERGY CORP","0.0818","Equity","Utilities","$57,353,932","1,578,259","36.34","New York Stock Exchange Inc.","57,353,932.06"
"ROK","US7739031091","2754060","ROCKWELL AUTOMATION INC","0.0814","Equity","Industrials","$57,035,108","507,746","112.33","New York Stock Exchange Inc.","57,035,108.18"
"HOT","US85590A4013","B12GHV2","STARWOOD HOTELS & RESORTS WORLDWID","0.0804","Equity","Consumer Discretionary","$56,314,089","643,369","87.53","New York Stock Exchange Inc.","56,314,088.57"
"GWW","US3848021040","2380863","WW GRAINGER INC","0.0803","Equity","Industrials","$56,259,740","224,922","250.13","New York Stock Exchange Inc.","56,259,739.86"
"HSP","US4410601003","B00PWV9","HOSPIRA INC","0.0800","Equity","Health Care","$56,067,938","642,318","87.29","New York Stock Exchange Inc.","56,067,938.22"
"LNC","US5341871094","2516378","LINCOLN NATIONAL CORP","0.0798","Equity","Financials","$55,944,764","960,755","58.23","New York Stock Exchange Inc.","55,944,763.65"
"ESS","US2971781057","2316619","ESSEX PROPERTY TRUST REIT INC","0.0783","Equity","Financials","$54,865,298","244,041","224.82","New York Stock Exchange Inc.","54,865,297.62"
"DPS","US26138E1091","B2QW0Z8","DR PEPPER SNAPPLE GROUP INC","0.0777","Equity","Consumer Staples","$54,447,623","723,076","75.30","New York Stock Exchange Inc.","54,447,622.80"
"SNDK","US80004C1018","2765802","SANDISK CORP","0.0773","Equity","Information Technology","$54,150,024","798,202","67.84","NASDAQ","54,150,023.68"
"KMX","US1431301027","2983563","CARMAX INC","0.0772","Equity","Consumer Discretionary","$54,111,782","786,966","68.76","New York Stock Exchange Inc.","54,111,782.16"
"DTE","US2333311072","2280220","DTE ENERGY","0.0770","Equity","Utilities","$53,986,234","664,119","81.29","New York Stock Exchange Inc.","53,986,233.51"
"KSS","US5002551043","2496113","KOHLS CORP","0.0768","Equity","Consumer Discretionary","$53,820,851","756,974","71.10","New York Stock Exchange Inc.","53,820,851.40"
"NLSN","NL0009538479","B4NTRF5","NIELSEN NV","0.0766","Equity","Industrials","$53,710,422","1,182,528","45.42","New York Stock Exchange Inc.","53,710,421.76"
"DVA","US23918K1088","2898087","DAVITA HEALTHCARE PARTNERS INC","0.0763","Equity","Health Care","$53,461,551","646,921","82.64","New York Stock Exchange Inc.","53,461,551.44"
"PGR","US7433151039","2705024","PROGRESSIVE CORP","0.0761","Equity","Financials","$53,318,692","2,008,237","26.55","New York Stock Exchange Inc.","53,318,692.35"
"PFG","US74251V1026","2803014","PRINCIPAL FINANCIAL GROUP INC","0.0760","Equity","Financials","$53,246,308","1,024,953","51.95","New York Stock Exchange Inc.","53,246,308.35"
"BF.B","US1156372096","2146838","BROWN FORMAN CORP CLASS B","0.0759","Equity","Consumer Staples","$53,224,581","583,923","91.15","New York Stock Exchange Inc.","53,224,581.45"
"ETR","US29364G1031","2317087","ENTERGY CORP","0.0756","Equity","Utilities","$53,022,234","676,304","78.40","New York Stock Exchange Inc.","53,022,233.60"
"A","US00846U1016","2520153","AGILENT TECHNOLOGIES INC","0.0753","Equity","Health Care","$52,800,744","1,258,359","41.96","New York Stock Exchange Inc.","52,800,743.64"
"CLX","US1890541097","2204026","CLOROX","0.0751","Equity","Consumer Staples","$52,650,349","491,554","107.11","New York Stock Exchange Inc.","52,650,348.94"
"RHT","US7565771026","2447218","RED HAT INC","0.0749","Equity","Information Technology","$52,523,619","687,302","76.42","New York Stock Exchange Inc.","52,523,618.84"
"EW","US28176E1082","2567116","EDWARDS LIFESCIENCES CORP","0.0749","Equity","Health Care","$52,517,096","404,102","129.96","New York Stock Exchange Inc.","52,517,095.92"
"WHR","US9633201069","2960384","WHIRLPOOL CORP","0.0748","Equity","Consumer Discretionary","$52,397,247","292,673","179.03","New York Stock Exchange Inc.","52,397,247.19"
"CF","US1252691001","B0G4K50","CF INDUSTRIES HOLDINGS INC","0.0747","Equity","Materials","$52,331,538","179,525","291.50","New York Stock Exchange Inc.","52,331,537.50"
"COG","US1270971039","2162340","CABOT OIL & GAS CORP","0.0744","Equity","Energy","$52,162,641","1,549,232","33.67","New York Stock Exchange Inc.","52,162,641.44"
"NI","US65473P1057","2645409","NISOURCE INC","0.0744","Equity","Utilities","$52,136,480","1,184,920","44.00","New York Stock Exchange Inc.","52,136,480.00"
"GPC","US3724601055","2367480","GENUINE PARTS","0.0742","Equity","Consumer Discretionary","$52,011,314","571,930","90.94","New York Stock Exchange Inc.","52,011,314.20"
"GMCR","US49271M1009","BKQVM44","KEURIG GREEN MOUNTAIN INC","0.0740","Equity","Consumer Staples","$51,898,256","454,371","114.22","NASDAQ","51,898,255.62"
"EQIX","US29444U7000","BVLZX12","EQUINIX REIT INC","0.0740","Equity","Information Technology","$51,845,947","211,789","244.80","NASDAQ","51,845,947.20"
"BWA","US0997241064","2111955","BORGWARNER INC","0.0738","Equity","Consumer Discretionary","$51,691,229","848,510","60.92","New York Stock Exchange Inc.","51,691,229.20"
"MOS","US61945C1036","B3NPHP6","MOSAIC","0.0732","Equity","Materials","$51,306,618","1,165,265","44.03","New York Stock Exchange Inc.","51,306,617.95"
"EQT","US26884L1098","2319414","EQT CORP","0.0726","Equity","Energy","$50,884,781","569,181","89.40","New York Stock Exchange Inc.","50,884,781.40"
"HSY","US4278661081","2422806","HERSHEY FOODS","0.0723","Equity","Consumer Staples","$50,657,173","554,418","91.37","New York Stock Exchange Inc.","50,657,172.66"
"ADSK","US0527691069","2065159","AUTODESK INC","0.0722","Equity","Information Technology","$50,579,290","849,501","59.54","NASDAQ","50,579,289.54"
"MNK","IE00BBGT3753","BBJTYC4","MALLINCKRODT PLC","0.0721","Equity","Health Care","$50,505,564","436,484","115.71","New York Stock Exchange Inc.","50,505,563.64"
"AKAM","US00971T1016","2507457","AKAMAI TECHNOLOGIES INC","0.0718","Equity","Information Technology","$50,347,243","670,135","75.13","NASDAQ","50,347,242.55"
"NEM","US6516391066","2636607","NEWMONT MINING CORP","0.0707","Equity","Materials","$49,530,072","1,870,471","26.48","New York Stock Exchange Inc.","49,530,072.08"
"BBBY","US0758961009","2085878","BED BATH AND BEYOND INC","0.0704","Equity","Consumer Discretionary","$49,359,209","695,494","70.97","NASDAQ","49,359,209.18"
"UA","US9043111072","B0PZN11","UNDER ARMOUR A INC","0.0704","Equity","Consumer Discretionary","$49,330,647","625,230","78.90","New York Stock Exchange Inc.","49,330,647.00"
"RF","US7591EP1005","B01R311","REGIONS FINANCIAL CORP","0.0704","Equity","Financials","$49,315,139","5,032,157","9.80","New York Stock Exchange Inc.","49,315,138.60"
"COL","US7743411016","2767228","ROCKWELL COLLINS INC","0.0701","Equity","Industrials","$49,111,546","498,645","98.49","New York Stock Exchange Inc.","49,111,546.05"
"AME","US0311001004","2089212","AMETEK INC","0.0675","Equity","Industrials","$47,334,911","903,338","52.40","New York Stock Exchange Inc.","47,334,911.20"
"KORS","VGG607541015","B7341C6","MICHAEL KORS HOLDINGS LTD","0.0671","Equity","Consumer Discretionary","$47,017,438","752,279","62.50","New York Stock Exchange Inc.","47,017,437.50"
"L","US5404241086","2523022","LOEWS CORP","0.0669","Equity","Financials","$46,862,720","1,118,709","41.89","New York Stock Exchange Inc.","46,862,720.01"
